config,nprocs,solverid,solvername,name,count,maxtime,avg time/solve,maxflops,messages,avgmsglen,reductions,max mflop/s
s1000_g1e2,3072,18524981, -ksp_type ibcgs -pc_type bjacobi ,KSPSolve,3,1.9,6.33E-01,1.28E+09,1.20E+08,5.80E+02,1.00E+04,1957820
s1000_g1e2,3072,12321508, -ksp_type fgmres -pc_type bjacobi ,KSPSolve,3,3.9,1.30E+00,4.16E+09,2.70E+08,5.80E+02,4.40E+04,3114939
s1000_g1e2,3072,22479830, -ksp_type gmres -pc_type asm ,KSPSolve,3,4.3,1.43E+00,3.78E+09,4.50E+08,5.80E+02,3.70E+04,2608302
s1000_g1e2,3072,80361466, -ksp_type bcgs -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,2,6.67E-01,1.26E+09,1.30E+08,5.80E+02,2.10E+04,1838275
s1000_g1e2,3072,80361467, -ksp_type bcgs -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,1.9,6.33E-01,1.09E+09,2.10E+08,5.90E+02,1.70E+04,1710529
s1000_g1e2,3072,81997754, -ksp_type tfqmr -pc_type asm ,KSPSolve,3,1.8,6.00E-01,1.24E+09,2.30E+08,5.90E+02,1.40E+04,1957450
s1000_g1e2,3072,80361465, -ksp_type bcgs -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,1.7,5.67E-01,1.03E+09,2.40E+08,8.20E+02,1.30E+04,1730431
s1000_g1e2,3072,8520536, -ksp_type bcgs -pc_type jacobi ,KSPSolve,3,3.1,1.03E+00,1.63E+09,2.90E+08,5.80E+02,4.80E+04,1557472
s1000_g1e2,3072,53302993, -ksp_type tfqmr -pc_type bjacobi ,KSPSolve,3,2.1,7.00E-01,1.67E+09,1.70E+08,5.80E+02,2.10E+04,2315998
s1000_g1e2,3072,91036839, -ksp_type bcgs -pc_type bjacobi ,KSPSolve,3,1.9,6.33E-01,1.26E+09,1.30E+08,5.80E+02,2.10E+04,1945867
s1000_g1e2,3072,30870723, -ksp_type gmres -pc_type asm -pc_asm_overlap 1 ,KSPSolve,3,6.4,2.13E+00,3.82E+09,4.60E+08,5.80E+02,3.70E+04,1757347
s1000_g1e2,3072,30870722, -ksp_type gmres -pc_type asm -pc_asm_overlap 0 ,KSPSolve,3,1.2,4.00E-01,4.38E+09,2.80E+08,5.80E+02,4.50E+04,1037087
s1000_g1e2,3072,30870721, -ksp_type gmres -pc_type asm -pc_asm_overlap 3 ,KSPSolve,3,1.3,4.33E-01,4.22E+09,6.70E+08,8.20E+02,3.70E+04,908080
